MIS,DBF Uploader,NecessaryColumns
DATE,DATECOLLCT,1
STATE,STATE,1
COUNTY,COUNTY,1
TOWN,TOWN,1
COLLECTOR,COLLECTOR,1
WSNAME,WSNAME,1
OTHERCOLLECTOR,OTHRCLTR,1
ACTIVITY,ACTIVITY,1
METHOD,METHOD,1
ERSCATEGORY,d1,0
DENSITYSTUDY,DNSTYSTDY,1
DENSITYID,STUDYID,1
DATELASTORV,LASTORV,1
ORVNAIVE,NAIVE,1
DAYSPOSTBAIT,DAYPOSTORV,1
ORVBAITTYPE,BAIT,1
OTHERORVBAIT,OTHRBAIT,1
m1,WYPTID,0
LAT/LONRECORDED,LAT_LONG,1
LATITUDE,LATITUDE,1
LONGITUDE,LONGITUDE,1
HABITAT,HABITAT,1
EDGE,EDGE,1
EDGE1,EDGE1,1
EDGE2,EDGE2,1
CAMPGROUND,CAMPGROUND,1
WATER,WATER,1
ROAD,ROAD,1
BUILDING,BUILDING,1
TARGETSPECIES,NRMPTRGT,1
MISTARGET,MISTRGT,1
SPECIES,SPECIES,1
RECAPTURE,TRAPFATE,1
PROCESSED<30DAYSAGO,RECAPTURE,1
TRAPFATE,THIRTYDAYS,1
DRUG1APPLIED,IEDRUG1,1
DRUG1VIALID,VIAL1,1
m2,D1AMT1,0
m3,D1TIME1,0
m4,D1AMT2,0
m5,D1TIME2,0
m6,D1AMT3,0
m7,D1TIME3,0
DRUG1AMOUNT,D1TAMT,1
DRUG2APPLIED,IEDRUG2,1
DRUG2VIALID,VIAL2,1
m8,D2AMT1,0
m9,D2TIME1,0
m10,D2AMT2,0
m11,D2TIME2,0
m12,D2AMT3,0
m13,D2TIME3,0
DRUG2AMOUNT,D2TAMT,1
DRUG3APPLIED,IEDRUG3,1
DRUG3VIALID,VIAL3,1
m14,D3AMT1,0
m15,D3TIME1,0
m16,D3AMT2,0
m17,D3TIME2,0
m18,D3AMT3,0
m19,D3TIME3,0
DRUG3AMOUNT,D3TAMT,1
IDNUMBER,ANIMALID,1
SEX,SEX,1
LACTATION,LACTATION,1
RELATIVEAGE,AGECLASS,1
WEIGHTRECORDED,WGTRECORD,1
WEIGHT,WEIGHT,1
HANDVACCINATED,HANDVAC,1
BLOODSAMPLE,BLOOD,1
PM1SAMPLE,PM1,1
PM2SAMPLE,PM2,1
K9SAMPLE,K9,1
JAWSAMPLE,JAW,1
DNASAMPLE,DNA,1
BRAINSTEMSAMPLE,BRAINSTEM,1
OTHERSAMPLE,OTHRSAMPLE,1
OTHERSAMPLEEXPLAIN,OTHR_SMPL,1
FATE,FATE,1
OTHERFATE,OTHERFATE,1
WHYEUTHANIZED,EUTHANIZED,1
COMMENTS,COMMENTS,1
FREETEXT,FREETXT,1
RABIESSERUM,RABIES,1
DISTEMPERSERUM,K9DISTEMP,1
3RDSERUM,SERUM3,1
4THSERUM,SERUM4,1
NOSERUM,NO_SERUM,1
RABIESBRAINTEST,RABIESTEST,1
RABIESBRAINLAB,RABIESLAB,1
RABIESBRAINTESTDATE,RAB_DATE,1
RABIESBRAINLABNUMBER,RABID,1
BRAINCONDITION,STEM_COND,1
STAININGINTENSITY,STN_INTSTY,1
ANTIGENDISTRIBUTION,ANTI_DSTRB,1
RABIESBRAINRESULTS,RAB_RSLTS,1
RABIESTESTCOMMENTS,RABVARIANT,1
RABIESVARIANT,RAB_CMTS,1
TOOTHLAB,TOOTHLAB,1
AGERECORDED,AGE_RCRD,1
AGE,AGE,1
TTCC,TTCC,1
AGE/TTCCCOMMENTS,AT_CMTS,1
RABIESVNALAB,VNA_LAB,1
RABIESVNA_IUML,VNA_TITER,1
RABIESVNAINTERPRET,VNA_INTRP,1
RABIESVNACOMMENTS,VNA_CMTS,1
DISTEMPVNADILUTION,DSTMP_DLT,1
DISTEMPVNAINTERPRET,DSTMP_INTP,1
DISTEMPVNACOMMENTS,DSTMP_CMTS,1
ADENOVNADILUTION,ADENO_DLT,1
ADENOVNAINTERPRET,ADENO_INTP,1
ADENOVNACOMMENTS,ADENO_CMTS,1
