"StateAbr","StateCode","CountyCode","CountyName","H","County","State","STCO_ID","StateCode1","CountyCode1","STCO_ID1","STCO"
"AL",1,1,"Autauga County","H1","Autauga","Alabama",1001,1,1,"01001","alabama,autauga"
"AL",1,3,"Baldwin County","H1","Baldwin","Alabama",1003,1,3,"01003","alabama,baldwin"
"AL",1,5,"Barbour County","H1","Barbour","Alabama",1005,1,5,"01005","alabama,barbour"
"AL",1,7,"Bibb County","H1","Bibb","Alabama",1007,1,7,"01007","alabama,bibb"
"AL",1,9,"Blount County","H1","Blount","Alabama",1009,1,9,"01009","alabama,blount"
"AL",1,11,"Bullock County","H1","Bullock","Alabama",1011,1,11,"01011","alabama,bullock"
"AL",1,13,"Butler County","H1","Butler","Alabama",1013,1,13,"01013","alabama,butler"
"AL",1,15,"Calhoun County","H1","Calhoun","Alabama",1015,1,15,"01015","alabama,calhoun"
"AL",1,17,"Chambers County","H1","Chambers","Alabama",1017,1,17,"01017","alabama,chambers"
"AL",1,19,"Cherokee County","H1","Cherokee","Alabama",1019,1,19,"01019","alabama,cherokee"
"AL",1,21,"Chilton County","H1","Chilton","Alabama",1021,1,21,"01021","alabama,chilton"
"AL",1,23,"Choctaw County","H1","Choctaw","Alabama",1023,1,23,"01023","alabama,choctaw"
"AL",1,25,"Clarke County","H1","Clarke","Alabama",1025,1,25,"01025","alabama,clarke"
"AL",1,27,"Clay County","H1","Clay","Alabama",1027,1,27,"01027","alabama,clay"
"AL",1,29,"Cleburne County","H1","Cleburne","Alabama",1029,1,29,"01029","alabama,cleburne"
"AL",1,31,"Coffee County","H1","Coffee","Alabama",1031,1,31,"01031","alabama,coffee"
"AL",1,33,"Colbert County","H1","Colbert","Alabama",1033,1,33,"01033","alabama,colbert"
"AL",1,35,"Conecuh County","H1","Conecuh","Alabama",1035,1,35,"01035","alabama,conecuh"
"AL",1,37,"Coosa County","H1","Coosa","Alabama",1037,1,37,"01037","alabama,coosa"
"AL",1,39,"Covington County","H1","Covington","Alabama",1039,1,39,"01039","alabama,covington"
"AL",1,41,"Crenshaw County","H1","Crenshaw","Alabama",1041,1,41,"01041","alabama,crenshaw"
"AL",1,43,"Cullman County","H1","Cullman","Alabama",1043,1,43,"01043","alabama,cullman"
"AL",1,45,"Dale County","H1","Dale","Alabama",1045,1,45,"01045","alabama,dale"
"AL",1,47,"Dallas County","H1","Dallas","Alabama",1047,1,47,"01047","alabama,dallas"
"AL",1,49,"DeKalb County","H1","de kalb","Alabama",1049,1,49,"01049","alabama,de kalb"
"AL",1,51,"Elmore County","H1","Elmore","Alabama",1051,1,51,"01051","alabama,elmore"
"AL",1,53,"Escambia County","H1","Escambia","Alabama",1053,1,53,"01053","alabama,escambia"
"AL",1,55,"Etowah County","H1","Etowah","Alabama",1055,1,55,"01055","alabama,etowah"
"AL",1,57,"Fayette County","H1","Fayette","Alabama",1057,1,57,"01057","alabama,fayette"
"AL",1,59,"Franklin County","H1","Franklin","Alabama",1059,1,59,"01059","alabama,franklin"
"AL",1,61,"Geneva County","H1","Geneva","Alabama",1061,1,61,"01061","alabama,geneva"
"AL",1,63,"Greene County","H1","Greene","Alabama",1063,1,63,"01063","alabama,greene"
"AL",1,65,"Hale County","H1","Hale","Alabama",1065,1,65,"01065","alabama,hale"
"AL",1,67,"Henry County","H1","Henry","Alabama",1067,1,67,"01067","alabama,henry"
"AL",1,69,"Houston County","H1","Houston","Alabama",1069,1,69,"01069","alabama,houston"
"AL",1,71,"Jackson County","H1","Jackson","Alabama",1071,1,71,"01071","alabama,jackson"
"AL",1,73,"Jefferson County","H1","Jefferson","Alabama",1073,1,73,"01073","alabama,jefferson"
"AL",1,75,"Lamar County","H1","Lamar","Alabama",1075,1,75,"01075","alabama,lamar"
"AL",1,77,"Lauderdale County","H1","Lauderdale","Alabama",1077,1,77,"01077","alabama,lauderdale"
"AL",1,79,"Lawrence County","H1","Lawrence","Alabama",1079,1,79,"01079","alabama,lawrence"
"AL",1,81,"Lee County","H1","Lee","Alabama",1081,1,81,"01081","alabama,lee"
"AL",1,83,"Limestone County","H1","Limestone","Alabama",1083,1,83,"01083","alabama,limestone"
"AL",1,85,"Lowndes County","H1","Lowndes","Alabama",1085,1,85,"01085","alabama,lowndes"
"AL",1,87,"Macon County","H1","Macon","Alabama",1087,1,87,"01087","alabama,macon"
"AL",1,89,"Madison County","H1","Madison","Alabama",1089,1,89,"01089","alabama,madison"
"AL",1,91,"Marengo County","H1","Marengo","Alabama",1091,1,91,"01091","alabama,marengo"
"AL",1,93,"Marion County","H1","Marion","Alabama",1093,1,93,"01093","alabama,marion"
"AL",1,95,"Marshall County","H1","Marshall","Alabama",1095,1,95,"01095","alabama,marshall"
"AL",1,97,"Mobile County","H1","Mobile","Alabama",1097,1,97,"01097","alabama,mobile"
"AL",1,99,"Monroe County","H1","Monroe","Alabama",1099,1,99,"01099","alabama,monroe"
"AL",1,101,"Montgomery County","H1","Montgomery","Alabama",1101,1,101,"01101","alabama,montgomery"
"AL",1,103,"Morgan County","H1","Morgan","Alabama",1103,1,103,"01103","alabama,morgan"
"AL",1,105,"Perry County","H1","Perry","Alabama",1105,1,105,"01105","alabama,perry"
"AL",1,107,"Pickens County","H1","Pickens","Alabama",1107,1,107,"01107","alabama,pickens"
"AL",1,109,"Pike County","H1","Pike","Alabama",1109,1,109,"01109","alabama,pike"
"AL",1,111,"Randolph County","H1","Randolph","Alabama",1111,1,111,"01111","alabama,randolph"
"AL",1,113,"Russell County","H1","Russell","Alabama",1113,1,113,"01113","alabama,russell"
"AL",1,115,"St. Clair County","H1","St Clair","Alabama",1115,1,115,"01115","alabama,st clair"
"AL",1,117,"Shelby County","H1","Shelby","Alabama",1117,1,117,"01117","alabama,shelby"
"AL",1,119,"Sumter County","H1","Sumter","Alabama",1119,1,119,"01119","alabama,sumter"
"AL",1,121,"Talladega County","H1","Talladega","Alabama",1121,1,121,"01121","alabama,talladega"
"AL",1,123,"Tallapoosa County","H1","Tallapoosa","Alabama",1123,1,123,"01123","alabama,tallapoosa"
"AL",1,125,"Tuscaloosa County","H1","Tuscaloosa","Alabama",1125,1,125,"01125","alabama,tuscaloosa"
"AL",1,127,"Walker County","H1","Walker","Alabama",1127,1,127,"01127","alabama,walker"
"AL",1,129,"Washington County","H1","Washington","Alabama",1129,1,129,"01129","alabama,washington"
"AL",1,131,"Wilcox County","H1","Wilcox","Alabama",1131,1,131,"01131","alabama,wilcox"
"AL",1,133,"Winston County","H1","Winston","Alabama",1133,1,133,"01133","alabama,winston"
"AK",2,13,"Aleutians East Borough","H1","Aleutians East Borough","Alaska",2013,2,13,"02013","alaska,aleutians east borough"
